Participant,Difficulty,Technique,Time
s0016,Level3,A,0.29
s0016,Level3,B,0.66
s0016,Level3,C,0.2
s0016,Level4,A,1.98
s0016,Level4,B,1.6
s0016,Level4,C,1.62
s0017,Level1,A,1.49
s0017,Level1,B,1.24
s0017,Level1,C,1.31
s0017,Level2,A,0.95
s0017,Level2,B,1.55
s0017,Level2,C,0.33
s0017,Level3,A,0.73
s0017,Level3,B,1.29
s0017,Level3,C,1.66
s0017,Level4,A,6.39
s0017,Level4,B,7.62
s0017,Level4,C,9.1
s0018,Level1,A,0.53
s0018,Level1,B,0.66
s0018,Level1,C,0.53
s0018,Level2,A,0.59
s0018,Level2,B,1.14
s0018,Level2,C,0.44
s0018,Level3,A,1.49
s0018,Level3,B,0.38
s0018,Level3,C,0.5
s0018,Level4,A,4.78
s0018,Level4,B,7.54
s0018,Level4,C,7.16
s0019,Level1,A,0.91
s0019,Level1,B,0.4
s0019,Level1,C,0.46
s0019,Level2,A,0.43
s0019,Level2,B,0.62
s0019,Level2,C,0.55
s0019,Level3,A,0.53
s0019,Level3,B,0.49
s0019,Level3,C,0.44
s0019,Level4,A,6.99
s0019,Level4,B,5.01
s0019,Level4,C,3.73
s0020,Level1,A,0.48
s0020,Level1,B,0.18
s0020,Level1,C,0.25
s0020,Level2,A,0.26
s0020,Level2,B,0.29
s0020,Level2,C,0.29
s0020,Level3,A,0.44
s0020,Level3,B,0.28
s0020,Level3,C,0.13
s0020,Level4,A,1.82
s0020,Level4,B,2.4
s0020,Level4,C,1.85
s0021,Level1,A,1
s0021,Level1,B,0.48
s0021,Level1,C,0.24
s0021,Level2,A,0.85
s0021,Level2,B,0.37
s0021,Level2,C,0.74
s0021,Level3,A,0.63
s0021,Level3,B,0.48
s0021,Level3,C,0.63
s0021,Level4,A,1.71
s0021,Level4,B,3.26
s0021,Level4,C,6.07
s0022,Level1,A,0.4
s0022,Level1,B,0.46
s0022,Level1,C,0.45
s0022,Level2,A,0.38
s0022,Level2,B,0.25
s0022,Level2,C,0.16
s0022,Level3,A,0.36
s0022,Level3,B,0.73
s0022,Level3,C,0.29
s0022,Level4,A,1.14
s0022,Level4,B,1.98
s0022,Level4,C,1.27
s0023,Level1,A,1.72
s0023,Level1,B,0.71
s0023,Level1,C,1.27
s0023,Level2,A,1.23
s0023,Level2,B,1.06
s0023,Level2,C,2.76
s0023,Level3,A,1.52
s0023,Level3,B,1.49
s0023,Level3,C,2.33
s0023,Level4,A,9.71
s0023,Level4,B,9.79
s0023,Level4,C,5.13
s0024,Level1,A,0.48
s0024,Level1,B,0.91
s0024,Level1,C,0.34
s0024,Level2,A,0.32
s0024,Level2,B,0.48
s0024,Level2,C,0.37
s0024,Level3,A,0.45
s0024,Level3,B,0.81
s0024,Level3,C,0.52
s0024,Level4,A,1.31
s0024,Level4,B,3.32
s0024,Level4,C,4.74
s0025,Level1,A,0.34
s0025,Level1,B,0.27
s0025,Level1,C,0.1
s0025,Level2,A,0.16
s0025,Level2,B,0.52
s0025,Level2,C,0.26
s0025,Level3,A,0.25
s0025,Level3,B,0.32
s0025,Level3,C,0.35
s0025,Level4,A,0.82
s0025,Level4,B,0.85
s0025,Level4,C,2.79
s0026,Level1,A,0.65
s0026,Level1,B,0.38
s0026,Level1,C,0.41
s0026,Level2,A,0.41
s0026,Level2,B,0.39
s0026,Level2,C,0.44
s0026,Level3,A,0.57
s0026,Level3,B,0.31
s0026,Level3,C,0.38
s0026,Level4,A,1.79
s0026,Level4,B,1.46
s0026,Level4,C,0.76
s0027,Level1,A,0.53
s0027,Level1,B,0.49
s0027,Level1,C,0.4
s0027,Level2,A,0.26
s0027,Level2,B,0.44
s0027,Level2,C,0.27
s0027,Level3,A,0.96
s0027,Level3,B,0.24
s0027,Level3,C,0.42
s0027,Level4,A,4.57
s0027,Level4,B,1.66
s0027,Level4,C,3.17
s0028,Level1,A,1.06
s0028,Level1,B,1.34
s0028,Level1,C,0.99
s0028,Level2,A,1.09
s0028,Level2,B,0.85
s0028,Level2,C,0.56
s0028,Level3,A,1.62
s0028,Level3,B,1.86
s0028,Level3,C,0.95
s0028,Level4,A,2.92
s0028,Level4,B,4.69
s0028,Level4,C,2.3
s0029,Level1,A,0.93
s0029,Level1,B,0.75
s0029,Level1,C,0.72
s0029,Level2,A,0.54
s0029,Level2,B,1.05
s0029,Level2,C,1.1
s0029,Level3,A,0.54
s0029,Level3,B,0.89
s0029,Level3,C,0.54
s0029,Level4,A,2.17
s0029,Level4,B,1.42
s0029,Level4,C,2.23
s0030,Level1,A,0.74
s0030,Level1,B,0.59
s0030,Level1,C,0.29
s0030,Level2,A,0.65
s0030,Level2,B,0.39
s0030,Level2,C,0.27
s0030,Level3,A,0.74
s0030,Level3,B,0.3
s0030,Level3,C,0.32
s0030,Level4,A,3.78
s0030,Level4,B,3.33
s0030,Level4,C,1.83
s0031,Level1,A,0.63
s0031,Level1,B,0.36
s0031,Level1,C,0.34
s0031,Level2,A,0.54
s0031,Level2,B,0.66
s0031,Level2,C,0.83
s0031,Level3,A,0.54
s0031,Level3,B,1.15
s0031,Level3,C,0.34
s0031,Level4,A,2.85
s0031,Level4,B,2.38
s0031,Level4,C,2.12
s0032,Level1,A,1.2
s0032,Level1,B,0.75
s0032,Level1,C,0.44
s0032,Level2,A,0.7
s0032,Level2,B,0.2
s0032,Level2,C,0.52
s0032,Level3,A,0.28
s0032,Level3,B,0.87
s0032,Level3,C,0.38
s0032,Level4,A,1.83
s0032,Level4,B,2.3
s0032,Level4,C,1.43
s0033,Level1,A,0.33
s0033,Level1,B,0.24
s0033,Level1,C,0.31
s0033,Level2,A,0.17
s0033,Level2,B,0.63
s0033,Level2,C,0.51
s0033,Level3,A,0.2
s0033,Level3,B,0.59
s0033,Level3,C,0.37
s0033,Level4,A,2.5
s0033,Level4,B,1.48
s0033,Level4,C,2.49
s0034,Level1,A,1.03
s0034,Level1,B,0.72
s0034,Level1,C,1.42
s0034,Level2,A,0.74
s0034,Level2,B,1.1
s0034,Level2,C,1.7
s0034,Level3,A,1.04
s0034,Level3,B,1.4
s0034,Level3,C,0.6
s0034,Level4,A,6.05
s0034,Level4,B,7.11
s0034,Level4,C,7.94
s0035,Level1,A,0.82
s0035,Level1,B,1.81
s0035,Level1,C,0.67
s0035,Level2,A,0.68
s0035,Level2,B,0.96
s0035,Level2,C,1.2
s0035,Level3,A,0.73
s0035,Level3,B,0.6
s0035,Level3,C,1.4
s0035,Level4,A,3.28
s0035,Level4,B,5.15
s0035,Level4,C,2.38
s0036,Level1,A,1.1
s0036,Level1,B,0.47
s0036,Level1,C,0.64
s0036,Level2,A,1.32
s0036,Level2,B,0.83
s0036,Level2,C,1.79
s0036,Level3,A,0.76
s0036,Level3,B,1.29
s0036,Level3,C,1.05
s0036,Level4,A,6.75
s0036,Level4,B,7.33
s0036,Level4,C,3.37
s0037,Level1,A,1.03
s0037,Level1,B,0.65
s0037,Level1,C,1.08
s0037,Level2,A,1.43
s0037,Level2,B,0.86
s0037,Level2,C,1.12
s0037,Level3,A,1.54
s0037,Level3,B,1.24
s0037,Level3,C,1
s0037,Level4,A,9.32
s0037,Level4,B,10.01
s0037,Level4,C,5.17
s0038,Level1,A,0.55
s0038,Level1,B,1.13
s0038,Level1,C,0.53
s0038,Level2,A,0.7
s0038,Level2,B,0.63
s0038,Level2,C,0.73
s0038,Level3,A,0.51
s0038,Level3,B,0.98
s0038,Level3,C,1.73
s0038,Level4,A,5.57
s0038,Level4,B,7.31
s0038,Level4,C,5.89
s0039,Level1,A,0.57
s0039,Level1,B,0.46
s0039,Level1,C,1.03
s0039,Level2,A,1.24
s0039,Level2,B,0.67
s0039,Level2,C,0.94
s0039,Level3,A,0.42
s0039,Level3,B,0.78
s0039,Level3,C,0.34
s0039,Level4,A,10.48
s0039,Level4,B,2.08
s0039,Level4,C,1.85
s0040,Level1,A,0.96
s0040,Level1,B,0.46
s0040,Level1,C,1.17
s0040,Level2,A,0.74
s0040,Level2,B,1.06
s0040,Level2,C,0.52
s0040,Level3,A,1.17
s0040,Level3,B,0.68
s0040,Level3,C,0.81
s0040,Level4,A,3.23
s0040,Level4,B,5
s0040,Level4,C,11.27
s0041,Level1,A,0.64
s0041,Level1,B,0.76
s0041,Level1,C,2.49
s0041,Level2,A,2.69
s0041,Level2,B,1.69
s0041,Level2,C,0.92
s0041,Level3,A,2.59
s0041,Level3,B,1.28
s0041,Level3,C,0.46
s0041,Level4,A,3.89
s0041,Level4,B,9.48
s0041,Level4,C,8.02
s0042,Level1,A,0.76
s0042,Level1,B,0.25
s0042,Level1,C,1.1
s0042,Level2,A,0.62
s0042,Level2,B,0.33
s0042,Level2,C,0.53
s0042,Level3,A,0.3
s0042,Level3,B,0.31
s0042,Level3,C,0.27
s0042,Level4,A,3.42
s0042,Level4,B,1.64
s0042,Level4,C,4.08
s0043,Level1,A,0.29
s0043,Level1,B,0.41
s0043,Level1,C,0.23
s0043,Level2,A,0.58
s0043,Level2,B,0.44
s0043,Level2,C,0.39
s0043,Level3,A,0.32
s0043,Level3,B,0.55
s0043,Level3,C,0.86
s0043,Level4,A,1.88
s0043,Level4,B,1.64
s0043,Level4,C,1.88
s0044,Level1,A,0.35
s0044,Level1,B,0.55
s0044,Level1,C,0.43
s0044,Level2,A,0.43
s0044,Level2,B,0.62
s0044,Level2,C,0.62
s0044,Level3,A,0.73
s0044,Level3,B,0.45
s0044,Level3,C,0.35
s0044,Level4,A,1.36
s0044,Level4,B,6.18
s0044,Level4,C,3.24
s0045,Level1,A,0.6
s0045,Level1,B,0.51
s0045,Level1,C,0.46
s0045,Level2,A,0.61
s0045,Level2,B,0.55
s0045,Level2,C,0.99
s0045,Level3,A,1.05
s0045,Level3,B,0.45
s0045,Level3,C,0.65
s0045,Level4,A,4.23
s0045,Level4,B,3.32
s0045,Level4,C,6.17
s0046,Level1,A,0.52
s0046,Level1,B,0.37
s0046,Level1,C,0.68
s0046,Level2,A,0.39
s0046,Level2,B,0.36
s0046,Level2,C,0.61
s0046,Level3,A,0.43
s0046,Level3,B,0.71
s0046,Level3,C,0.65
s0046,Level4,A,2.54
s0046,Level4,B,2.42
s0046,Level4,C,4.69
s0047,Level1,A,0.32
s0047,Level1,B,0.23
s0047,Level1,C,0.69
s0047,Level2,A,0.16
s0047,Level2,B,0.2
s0047,Level2,C,0.39
s0047,Level3,A,0.27
s0047,Level3,B,0.35
s0047,Level3,C,0.33
s0047,Level4,A,1.7
s0047,Level4,B,3.33
s0047,Level4,C,3.04
s0048,Level1,A,0.95
s0048,Level1,B,0.69
s0048,Level1,C,0.94
s0048,Level2,A,1.4
s0048,Level2,B,1.54
s0048,Level2,C,0.55
s0048,Level3,A,0.6
s0048,Level3,B,3.26
s0048,Level3,C,1.53
s0048,Level4,A,8.34
s0048,Level4,B,5.13
s0048,Level4,C,8.62
s0049,Level1,A,0.51
s0049,Level1,B,1.21
s0049,Level1,C,1.17
s0049,Level2,A,1.52
s0049,Level2,B,0.82
s0049,Level2,C,1.96
s0049,Level3,A,1.37
s0049,Level3,B,0.59
s0049,Level3,C,3.15
s0049,Level4,A,4.85
s0049,Level4,B,4.79
s0049,Level4,C,4.66
s0050,Level1,A,0.53
s0050,Level1,B,0.66
s0050,Level1,C,0.77
s0050,Level2,A,1.37
s0050,Level2,B,0.39
s0050,Level2,C,0.37
s0050,Level3,A,0.93
s0050,Level3,B,1.25
s0050,Level3,C,1.4
s0050,Level4,A,3.79
s0050,Level4,B,4.34
s0050,Level4,C,4.18
s0051,Level1,A,1.39
s0051,Level1,B,0.96
s0051,Level1,C,0.53
s0051,Level2,A,0.56
s0051,Level2,B,0.54
s0051,Level2,C,0.99
s0051,Level3,A,1.04
s0051,Level3,B,0.64
s0051,Level3,C,0.91
s0051,Level4,A,4.93
s0051,Level4,B,5.25
s0051,Level4,C,2.16
s0052,Level1,A,2.28
s0052,Level1,B,2.05
s0052,Level1,C,2.79
s0052,Level2,A,1.78
s0052,Level2,B,1.51
s0052,Level2,C,1.22
s0052,Level3,A,1.72
s0052,Level3,B,0.65
s0052,Level3,C,1.16
s0052,Level4,A,5.51
s0052,Level4,B,4.62
s0052,Level4,C,14.04
s0053,Level1,A,0.65
s0053,Level1,B,0.77
s0053,Level1,C,0.62
s0053,Level2,A,0.78
s0053,Level2,B,0.43
s0053,Level2,C,0.37
s0053,Level3,A,0.74
s0053,Level3,B,1.04
s0053,Level3,C,0.48
s0053,Level4,A,2.91
s0053,Level4,B,5.16
s0053,Level4,C,2.86
s0054,Level1,A,0.58
s0054,Level1,B,1.93
s0054,Level1,C,1.56
s0054,Level2,A,1.62
s0054,Level2,B,0.6
s0054,Level2,C,0.41
s0054,Level3,A,0.56
s0054,Level3,B,0.7
s0054,Level3,C,0.85
s0054,Level4,A,3.46
s0054,Level4,B,3.84
s0054,Level4,C,4.96
s0055,Level1,A,0.59
s0055,Level1,B,0.58
s0055,Level1,C,0.49
s0055,Level2,A,0.61
s0055,Level2,B,0.93
s0055,Level2,C,0.23
s0055,Level3,A,0.66
s0055,Level3,B,0.3
s0055,Level3,C,0.48
s0055,Level4,A,1.7
s0055,Level4,B,3.23
s0055,Level4,C,1.42
s0056,Level1,A,0.74
s0056,Level1,B,0.5
s0056,Level1,C,0.57
s0056,Level2,A,0.77
s0056,Level2,B,0.62
s0056,Level2,C,0.62
s0056,Level3,A,0.53
s0056,Level3,B,0.52
s0056,Level3,C,0.52
s0056,Level4,A,1.78
s0056,Level4,B,4.41
s0056,Level4,C,3.88
s0057,Level1,A,1.21
s0057,Level1,B,1.34
s0057,Level1,C,0.52
s0057,Level2,A,0.43
s0057,Level2,B,0.77
s0057,Level2,C,0.35
s0057,Level3,A,0.42
s0057,Level3,B,1.03
s0057,Level3,C,0.93
s0057,Level4,A,4.91
s0057,Level4,B,12.32
s0057,Level4,C,2.76
s0058,Level1,A,0.52
s0058,Level1,B,1.29
s0058,Level1,C,0.9
s0058,Level2,A,0.57
s0058,Level2,B,0.87
s0058,Level2,C,0.41
s0058,Level3,A,0.88
s0058,Level3,B,0.68
s0058,Level3,C,1.54
s0058,Level4,A,4.1
s0058,Level4,B,3.14
s0058,Level4,C,3.1
s0059,Level1,A,0.5
s0059,Level1,B,1.01
s0059,Level1,C,0.43
s0059,Level2,A,0.37
s0059,Level2,B,0.73
s0059,Level2,C,0.25
s0059,Level3,A,0.27
s0059,Level3,B,0.43
s0059,Level3,C,0.45
s0059,Level4,A,2.81
s0059,Level4,B,6.8
s0059,Level4,C,4.89
s0060,Level1,A,0.71
s0060,Level1,B,0.8
s0060,Level1,C,0.99
s0060,Level2,A,0.77
s0060,Level2,B,0.64
s0060,Level2,C,1.72
s0060,Level3,A,0.67
s0060,Level3,B,0.47
s0060,Level3,C,1.26
s0060,Level4,A,4.12
s0060,Level4,B,6.22
s0060,Level4,C,4.05
s0061,Level1,A,1.11
s0061,Level1,B,0.55
s0061,Level1,C,1.55
s0061,Level2,A,0.55
s0061,Level2,B,1
s0061,Level2,C,0.38
s0061,Level3,A,0.82
s0061,Level3,B,0.78
s0061,Level3,C,1.3
s0061,Level4,A,9.12
s0061,Level4,B,2.89
s0061,Level4,C,4.04
s0062,Level1,A,0.47
s0062,Level1,B,0.76
s0062,Level1,C,1.03
s0062,Level2,A,0.64
s0062,Level2,B,0.73
s0062,Level2,C,0.32
s0062,Level3,A,0.72
s0062,Level3,B,0.53
s0062,Level3,C,0.56
s0062,Level4,A,4.2
s0062,Level4,B,4.14
s0062,Level4,C,5.49
s0063,Level1,A,0.47
s0063,Level1,B,1.39
s0063,Level1,C,0.9
s0063,Level2,A,0.32
s0063,Level2,B,0.42
s0063,Level2,C,1.34
s0063,Level3,A,1.86
s0063,Level3,B,0.66
s0063,Level3,C,0.96
s0063,Level4,A,4.45
s0063,Level4,B,12.83
s0063,Level4,C,7.19
s0064,Level1,A,1.53
s0064,Level1,B,2.58
s0064,Level1,C,0.92
s0064,Level2,A,0.71
s0064,Level2,B,1.85
s0064,Level2,C,1.19
s0064,Level3,A,0.95
s0064,Level3,B,0.76
s0064,Level3,C,1.15
s0064,Level4,A,6.6
s0064,Level4,B,6.87
s0064,Level4,C,6.45
s0065,Level1,A,0.36
s0065,Level1,B,0.37
s0065,Level1,C,0.4
s0065,Level2,A,0.73
s0065,Level2,B,0.24
s0065,Level2,C,0.66
s0065,Level3,A,0.47
s0065,Level3,B,0.75
s0065,Level3,C,0.52
s0065,Level4,A,2.16
s0065,Level4,B,4.49
s0065,Level4,C,7.75
s0066,Level1,A,0.65
s0066,Level1,B,1.6
s0066,Level1,C,0.91
s0066,Level2,A,1.49
s0066,Level2,B,0.98
s0066,Level2,C,0.29
s0066,Level3,A,1.24
s0066,Level3,B,0.51
s0066,Level3,C,0.7
s0066,Level4,A,7.61
s0066,Level4,B,6.76
s0066,Level4,C,9.59
s0067,Level1,A,0.54
s0067,Level1,B,0.22
s0067,Level1,C,0.28
s0067,Level2,A,0.33
s0067,Level2,B,0.22
s0067,Level2,C,0.3
s0067,Level3,A,0.39
s0067,Level3,B,0.24
s0067,Level3,C,0.29
s0067,Level4,A,2.49
s0067,Level4,B,2.08
s0067,Level4,C,1.37
s0068,Level1,A,0.25
s0068,Level1,B,0.26
s0068,Level1,C,0.22
s0068,Level2,A,0.31
s0068,Level2,B,0.57
s0068,Level2,C,0.28
s0068,Level3,A,0.21
s0068,Level3,B,0.39
s0068,Level3,C,0.27
s0068,Level4,A,1.02
s0068,Level4,B,2.94
s0068,Level4,C,1.7
s0069,Level1,A,0.25
s0069,Level1,B,0.1
s0069,Level1,C,0.15
s0069,Level2,A,0.15
s0069,Level2,B,0.32
s0069,Level2,C,0.46
s0069,Level3,A,0.16
s0069,Level3,B,0.29
s0069,Level3,C,0.27
s0069,Level4,A,5.25
s0069,Level4,B,2.4
s0069,Level4,C,1.08
s0070,Level1,A,1.74
s0070,Level1,B,0.87
s0070,Level1,C,0.46
s0070,Level2,A,1.85
s0070,Level2,B,0.52
s0070,Level2,C,0.76
s0070,Level3,A,0.62
s0070,Level3,B,2.53
s0070,Level3,C,0.75
s0070,Level4,A,6.47
s0070,Level4,B,3.86
s0070,Level4,C,6.53
s0071,Level1,A,0.27
s0071,Level1,B,0.29
s0071,Level1,C,0.3
s0071,Level2,A,0.21
s0071,Level2,B,0.32
s0071,Level2,C,0.62
s0071,Level3,A,0.48
s0071,Level3,B,0.3
s0071,Level3,C,0.24
s0071,Level4,A,2.34
s0071,Level4,B,1.66
s0071,Level4,C,1.25
s0072,Level1,A,0.39
s0072,Level1,B,0.75
s0072,Level1,C,1.03
s0072,Level2,A,0.67
s0072,Level2,B,0.5
s0072,Level2,C,0.67
s0072,Level3,A,0.92
s0072,Level3,B,1.3
s0072,Level3,C,0.57
s0072,Level4,A,2.84
s0072,Level4,B,3.64
s0072,Level4,C,4.36
s0073,Level1,A,0.77
s0073,Level1,B,0.27
s0073,Level1,C,0.57
s0073,Level2,A,0.57
s0073,Level2,B,0.39
s0073,Level2,C,0.56
s0073,Level3,A,1.1
s0073,Level3,B,0.45
s0073,Level3,C,0.73
s0073,Level4,A,4.78
s0073,Level4,B,5.65
s0073,Level4,C,4.45
s0074,Level1,A,0.73
s0074,Level1,B,0.37
s0074,Level1,C,0.49
s0074,Level2,A,0.28
s0074,Level2,B,0.37
s0074,Level2,C,0.26
s0074,Level3,A,0.28
s0074,Level3,B,0.54
s0074,Level3,C,0.37
s0074,Level4,A,3.04
s0074,Level4,B,3.9
s0074,Level4,C,5.54
s0075,Level1,A,0.77
s0075,Level1,B,1.61
s0075,Level1,C,0.35
s0075,Level2,A,0.66
s0075,Level2,B,0.4
s0075,Level2,C,1.21
s0075,Level3,A,0.47
s0075,Level3,B,1.08
s0075,Level3,C,0.84
s0075,Level4,A,4.63
s0075,Level4,B,2.14
s0075,Level4,C,5.04
s0076,Level1,A,0.54
s0076,Level1,B,0.58
s0076,Level1,C,0.73
s0076,Level2,A,0.64
s0076,Level2,B,1.04
s0076,Level2,C,0.77
s0076,Level3,A,0.93
s0076,Level3,B,0.87
s0076,Level3,C,0.41
s0076,Level4,A,6.07
s0076,Level4,B,7.51
s0076,Level4,C,4.33
s0077,Level1,A,0.46
s0077,Level1,B,0.77
s0077,Level1,C,0.68
s0077,Level2,A,0.31
s0077,Level2,B,0.32
s0077,Level2,C,0.55
s0077,Level3,A,0.46
s0077,Level3,B,0.74
s0077,Level3,C,0.55
s0077,Level4,A,2.56
s0077,Level4,B,1.99
s0077,Level4,C,4.61
s0078,Level1,A,1.77
s0078,Level1,B,1.44
s0078,Level1,C,1.8
s0078,Level2,A,1.04
s0078,Level2,B,0.82
s0078,Level2,C,1
s0078,Level3,A,1.04
s0078,Level3,B,0.48
s0078,Level3,C,1.97
s0078,Level4,A,13.42
s0078,Level4,B,4.07
s0078,Level4,C,6.24
s0079,Level1,A,1.89
s0079,Level1,B,0.71
s0079,Level1,C,0.49
s0079,Level2,A,0.51
s0079,Level2,B,1.12
s0079,Level2,C,0.65
s0079,Level3,A,0.81
s0079,Level3,B,1.02
s0079,Level3,C,2.21
s0079,Level4,A,6.63
s0079,Level4,B,9.39
s0079,Level4,C,5.04
s0080,Level1,A,1.95
s0080,Level1,B,1.59
s0080,Level1,C,0.53
s0080,Level2,A,2.34
s0080,Level2,B,0.83
s0080,Level2,C,0.92
s0080,Level3,A,2.57
s0080,Level3,B,1.4
s0080,Level3,C,1.17
s0080,Level4,A,3.66
s0080,Level4,B,7.65
s0080,Level4,C,6.78
s0081,Level1,A,0.59
s0081,Level1,B,0.39
s0081,Level1,C,0.52
s0081,Level2,A,0.31
s0081,Level2,B,0.61
s0081,Level2,C,0.66
s0081,Level3,A,0.67
s0081,Level3,B,0.75
s0081,Level3,C,0.43
s0081,Level4,A,3.81
s0081,Level4,B,6.53
s0081,Level4,C,3.42
s0082,Level1,A,0.47
s0082,Level1,B,0.35
s0082,Level1,C,1.01
s0082,Level2,A,0.53
s0082,Level2,B,0.7
s0082,Level2,C,0.49
s0082,Level3,A,0.65
s0082,Level3,B,0.48
s0082,Level3,C,0.93
s0082,Level4,A,3.2
s0082,Level4,B,2.44
s0082,Level4,C,5.9
s0083,Level1,A,0.46
s0083,Level1,B,0.34
s0083,Level1,C,0.45
s0083,Level2,A,0.46
s0083,Level2,B,0.18
s0083,Level2,C,0.74
s0083,Level3,A,0.74
s0083,Level3,B,0.54
s0083,Level3,C,0.28
s0083,Level4,A,2.71
s0083,Level4,B,4.44
s0083,Level4,C,0.84
s0084,Level1,A,1.13
s0084,Level1,B,0.47
