Participant,Difficulty,Technique,Rating
s0036,Level1,A,3
s0036,Level1,B,1
s0036,Level1,C,3
s0036,Level2,A,4
s0036,Level2,B,1
s0036,Level2,C,3
s0036,Level3,A,3
s0036,Level3,B,3
s0036,Level3,C,4
s0036,Level4,A,3
s0036,Level4,B,3
s0036,Level4,C,5
s0037,Level1,A,3
s0037,Level1,B,3
s0037,Level1,C,3
s0037,Level2,A,3
s0037,Level2,B,4
s0037,Level2,C,3
s0037,Level3,A,3
s0037,Level3,B,3
s0037,Level3,C,3
s0037,Level4,A,3
s0037,Level4,B,3
s0037,Level4,C,3
s0038,Level1,A,3
s0038,Level1,B,3
s0038,Level1,C,3
s0038,Level2,A,3
s0038,Level2,B,3
s0038,Level2,C,3
s0038,Level3,A,3
s0038,Level3,B,1
s0038,Level3,C,3
s0038,Level4,A,3
s0038,Level4,B,1
s0038,Level4,C,3
s0039,Level1,A,5
s0039,Level1,B,5
s0039,Level1,C,5
s0039,Level2,A,5
s0039,Level2,B,5
s0039,Level2,C,5
s0039,Level3,A,5
s0039,Level3,B,3
s0039,Level3,C,3
s0039,Level4,A,5
s0039,Level4,B,5
s0039,Level4,C,5
s0040,Level1,A,1
s0040,Level1,B,1
s0040,Level1,C,1
s0040,Level2,A,1
s0040,Level2,B,1
s0040,Level2,C,3
s0040,Level3,A,2
s0040,Level3,B,1
s0040,Level3,C,3
s0040,Level4,A,3
s0040,Level4,B,3
s0040,Level4,C,3
s0041,Level1,A,3
s0041,Level1,B,4
s0041,Level1,C,5
s0041,Level2,A,3
s0041,Level2,B,5
s0041,Level2,C,5
s0041,Level3,A,3
s0041,Level3,B,3
s0041,Level3,C,4
s0041,Level4,A,5
s0041,Level4,B,3
s0041,Level4,C,5
s0042,Level1,A,3
s0042,Level1,B,3
s0042,Level1,C,2
s0042,Level2,A,3
s0042,Level2,B,4
s0042,Level2,C,3
s0042,Level3,A,4
s0042,Level3,B,3
s0042,Level3,C,3
s0042,Level4,A,3
s0042,Level4,B,3
s0042,Level4,C,3
s0043,Level1,A,3
s0043,Level1,B,1
s0043,Level1,C,3
s0043,Level2,A,3
s0043,Level2,B,1
s0043,Level2,C,3
s0043,Level3,A,3
s0043,Level3,B,1
s0043,Level3,C,1
s0043,Level4,A,3
s0043,Level4,B,1
s0043,Level4,C,1
s0044,Level1,A,3
s0044,Level1,B,3
s0044,Level1,C,3
s0044,Level2,A,4
s0044,Level2,B,3
s0044,Level2,C,3
s0044,Level3,A,3
s0044,Level3,B,3
s0044,Level3,C,5
s0044,Level4,A,4
s0044,Level4,B,3
s0044,Level4,C,5
s0045,Level1,A,3
s0045,Level1,B,3
s0045,Level1,C,3
s0045,Level2,A,4
s0045,Level2,B,4
s0045,Level2,C,3
s0045,Level3,A,3
s0045,Level3,B,4
s0045,Level3,C,3
s0045,Level4,A,4
s0045,Level4,B,3
s0045,Level4,C,4
s0046,Level1,A,3
s0046,Level1,B,1
s0046,Level1,C,3
s0046,Level2,A,1
s0046,Level2,B,2
s0046,Level2,C,2
s0046,Level3,A,3
s0046,Level3,B,1
s0046,Level3,C,1
s0046,Level4,A,1
s0046,Level4,B,1
s0046,Level4,C,1
s0047,Level1,A,3
s0047,Level1,B,1
s0047,Level1,C,3
s0047,Level2,A,3
s0047,Level2,B,2
s0047,Level2,C,3
s0047,Level3,A,5
s0047,Level3,B,3
s0047,Level3,C,3
s0047,Level4,A,4
s0047,Level4,B,3
s0047,Level4,C,1
s0048,Level1,A,3
s0048,Level1,B,4
s0048,Level1,C,3
s0048,Level2,A,2
s0048,Level2,B,1
s0048,Level2,C,3
s0048,Level3,A,5
s0048,Level3,B,3
s0048,Level3,C,4
s0048,Level4,A,1
s0048,Level4,B,3
s0048,Level4,C,3
s0049,Level1,A,3
s0049,Level1,B,3
s0049,Level1,C,3
s0049,Level2,A,3
s0049,Level2,B,3
s0049,Level2,C,3
s0049,Level3,A,3
s0049,Level3,B,3
s0049,Level3,C,2
s0049,Level4,A,5
s0049,Level4,B,3
s0049,Level4,C,3
s0050,Level1,A,5
s0050,Level1,B,3
s0050,Level1,C,3
s0050,Level2,A,3
s0050,Level2,B,5
s0050,Level2,C,4
s0050,Level3,A,3
s0050,Level3,B,3
s0050,Level3,C,3
s0050,Level4,A,4
s0050,Level4,B,3
s0050,Level4,C,4
s0051,Level1,A,3
s0051,Level1,B,3
s0051,Level1,C,4
s0051,Level2,A,3
s0051,Level2,B,4
s0051,Level2,C,3
s0051,Level3,A,5
s0051,Level3,B,4
s0051,Level3,C,5
s0051,Level4,A,4
s0051,Level4,B,3
s0051,Level4,C,4
s0052,Level1,A,4
s0052,Level1,B,2
s0052,Level1,C,1
s0052,Level2,A,1
s0052,Level2,B,3
s0052,Level2,C,1
s0052,Level3,A,1
s0052,Level3,B,3
s0052,Level3,C,3
s0052,Level4,A,3
s0052,Level4,B,3
s0052,Level4,C,1
s0053,Level1,A,3
s0053,Level1,B,4
s0053,Level1,C,5
s0053,Level2,A,5
s0053,Level2,B,5
s0053,Level2,C,3
s0053,Level3,A,3
s0053,Level3,B,3
s0053,Level3,C,5
s0053,Level4,A,4
s0053,Level4,B,4
s0053,Level4,C,5
s0054,Level1,A,3
s0054,Level1,B,3
s0054,Level1,C,3
s0054,Level2,A,3
s0054,Level2,B,3
s0054,Level2,C,3
s0054,Level3,A,3
s0054,Level3,B,3
s0054,Level3,C,3
s0054,Level4,A,3
s0054,Level4,B,3
s0054,Level4,C,1
s0055,Level1,A,3
s0055,Level1,B,3
s0055,Level1,C,3
s0055,Level2,A,3
s0055,Level2,B,5
s0055,Level2,C,3
s0055,Level3,A,4
s0055,Level3,B,4
s0055,Level3,C,5
s0055,Level4,A,3
s0055,Level4,B,3
s0055,Level4,C,3
s0056,Level1,A,3
s0056,Level1,B,3
s0056,Level1,C,4
s0056,Level2,A,2
s0056,Level2,B,3
s0056,Level2,C,4
s0056,Level3,A,1
s0056,Level3,B,1
s0056,Level3,C,3
s0056,Level4,A,2
s0056,Level4,B,3
s0056,Level4,C,3
s0057,Level1,A,1
s0057,Level1,B,4
s0057,Level1,C,3
s0057,Level2,A,4
s0057,Level2,B,3
s0057,Level2,C,4
s0057,Level3,A,4
s0057,Level3,B,3
s0057,Level3,C,3
s0057,Level4,A,3
s0057,Level4,B,1
s0057,Level4,C,3
s0058,Level1,A,5
s0058,Level1,B,3
s0058,Level1,C,3
s0058,Level2,A,5
s0058,Level2,B,5
s0058,Level2,C,4
s0058,Level3,A,5
s0058,Level3,B,1
s0058,Level3,C,3
s0058,Level4,A,3
s0058,Level4,B,5
s0058,Level4,C,4
s0059,Level1,A,3
s0059,Level1,B,3
s0059,Level1,C,5
s0059,Level2,A,3
s0059,Level2,B,4
s0059,Level2,C,3
s0059,Level3,A,3
s0059,Level3,B,3
s0059,Level3,C,1
s0059,Level4,A,3
s0059,Level4,B,4
s0059,Level4,C,3
s0060,Level1,A,5
s0060,Level1,B,3
s0060,Level1,C,3
s0060,Level2,A,3
s0060,Level2,B,3
s0060,Level2,C,3
s0060,Level3,A,5
s0060,Level3,B,5
s0060,Level3,C,3
s0060,Level4,A,2
s0060,Level4,B,5
s0060,Level4,C,4
s0061,Level1,A,5
s0061,Level1,B,4
s0061,Level1,C,3
s0061,Level2,A,3
s0061,Level2,B,3
s0061,Level2,C,3
s0061,Level3,A,3
s0061,Level3,B,5
s0061,Level3,C,5
s0061,Level4,A,5
s0061,Level4,B,4
s0061,Level4,C,5
s0062,Level1,A,4
s0062,Level1,B,4
s0062,Level1,C,5
s0062,Level2,A,4
s0062,Level2,B,4
s0062,Level2,C,3
s0062,Level3,A,3
s0062,Level3,B,3
s0062,Level3,C,4
s0062,Level4,A,3
s0062,Level4,B,3
s0062,Level4,C,3
s0063,Level1,A,2
s0063,Level1,B,3
s0063,Level1,C,3
s0063,Level2,A,3
s0063,Level2,B,3
s0063,Level2,C,3
s0063,Level3,A,1
s0063,Level3,B,3
s0063,Level3,C,1
s0063,Level4,A,3
s0063,Level4,B,4
s0063,Level4,C,3
s0064,Level1,A,1
s0064,Level1,B,3
s0064,Level1,C,5
s0064,Level2,A,3
s0064,Level2,B,3
s0064,Level2,C,3
s0064,Level3,A,3
s0064,Level3,B,3
s0064,Level3,C,5
s0064,Level4,A,1
s0064,Level4,B,3
s0064,Level4,C,2
s0065,Level1,A,3
s0065,Level1,B,3
s0065,Level1,C,4
s0065,Level2,A,3
s0065,Level2,B,3
s0065,Level2,C,3
s0065,Level3,A,3
s0065,Level3,B,1
s0065,Level3,C,3
s0065,Level4,A,3
s0065,Level4,B,3
s0065,Level4,C,3
s0066,Level1,A,3
s0066,Level1,B,3
s0066,Level1,C,3
s0066,Level2,A,3
s0066,Level2,B,3
s0066,Level2,C,2
s0066,Level3,A,1
s0066,Level3,B,1
s0066,Level3,C,1
s0066,Level4,A,3
s0066,Level4,B,1
s0066,Level4,C,1
s0067,Level1,A,1
s0067,Level1,B,1
s0067,Level1,C,2
s0067,Level2,A,1
s0067,Level2,B,1
s0067,Level2,C,2
s0067,Level3,A,1
s0067,Level3,B,1
s0067,Level3,C,1
s0067,Level4,A,3
s0067,Level4,B,1
s0067,Level4,C,1
s0068,Level1,A,1
s0068,Level1,B,2
s0068,Level1,C,3
s0068,Level2,A,1
s0068,Level2,B,1
s0068,Level2,C,1
s0068,Level3,A,1
s0068,Level3,B,2
s0068,Level3,C,1
s0068,Level4,A,3
s0068,Level4,B,2
s0068,Level4,C,3
s0069,Level1,A,3
s0069,Level1,B,3
s0069,Level1,C,3
s0069,Level2,A,1
s0069,Level2,B,3
s0069,Level2,C,3
s0069,Level3,A,1
s0069,Level3,B,3
s0069,Level3,C,1
s0069,Level4,A,3
s0069,Level4,B,3
s0069,Level4,C,3
s0070,Level1,A,2
s0070,Level1,B,3
s0070,Level1,C,3
s0070,Level2,A,1
s0070,Level2,B,3
s0070,Level2,C,3
s0070,Level3,A,1
s0070,Level3,B,1
s0070,Level3,C,1
s0070,Level4,A,1
s0070,Level4,B,1
s0070,Level4,C,3
s0071,Level1,A,5
s0071,Level1,B,4
s0071,Level1,C,3
s0071,Level2,A,3
s0071,Level2,B,5
s0071,Level2,C,5
s0071,Level3,A,3
s0071,Level3,B,5
s0071,Level3,C,5
s0071,Level4,A,5
s0071,Level4,B,4
s0071,Level4,C,4
s0072,Level1,A,5
s0072,Level1,B,5
s0072,Level1,C,5
s0072,Level2,A,5
s0072,Level2,B,5
s0072,Level2,C,3
s0072,Level3,A,3
s0072,Level3,B,5
s0072,Level3,C,5
s0072,Level4,A,4
s0072,Level4,B,5
s0072,Level4,C,5
s0073,Level1,A,4
s0073,Level1,B,3
s0073,Level1,C,3
s0073,Level2,A,3
s0073,Level2,B,3
s0073,Level2,C,5
s0073,Level3,A,4
s0073,Level3,B,3
s0073,Level3,C,5
s0073,Level4,A,3
s0073,Level4,B,3
s0073,Level4,C,3
s0074,Level1,A,3
s0074,Level1,B,3
s0074,Level1,C,1
s0074,Level2,A,1
s0074,Level2,B,3
s0074,Level2,C,3
s0074,Level3,A,1
s0074,Level3,B,3
s0074,Level3,C,1
s0074,Level4,A,1
s0074,Level4,B,3
s0074,Level4,C,4
s0075,Level1,A,3
s0075,Level1,B,3
s0075,Level1,C,3
s0075,Level2,A,3
s0075,Level2,B,1
s0075,Level2,C,2
s0075,Level3,A,3
s0075,Level3,B,3
s0075,Level3,C,3
s0075,Level4,A,1
s0075,Level4,B,1
s0075,Level4,C,1
s0076,Level1,A,4
s0076,Level1,B,3
s0076,Level1,C,3
s0076,Level2,A,3
s0076,Level2,B,3
s0076,Level2,C,4
s0076,Level3,A,3
s0076,Level3,B,4
s0076,Level3,C,3
s0076,Level4,A,3
s0076,Level4,B,5
s0076,Level4,C,4
s0077,Level1,A,3
s0077,Level1,B,3
s0077,Level1,C,4
s0077,Level2,A,4
s0077,Level2,B,3
s0077,Level2,C,3
s0077,Level3,A,4
s0077,Level3,B,5
s0077,Level3,C,4
s0077,Level4,A,2
s0077,Level4,B,3
s0077,Level4,C,3
s0078,Level1,A,1
s0078,Level1,B,2
s0078,Level1,C,3
s0078,Level2,A,3
s0078,Level2,B,1
s0078,Level2,C,3
s0078,Level3,A,3
s0078,Level3,B,1
s0078,Level3,C,1
s0078,Level4,A,1
s0078,Level4,B,1
s0078,Level4,C,1
s0079,Level1,A,1
s0079,Level1,B,1
s0079,Level1,C,1
s0079,Level2,A,3
s0079,Level2,B,1
s0079,Level2,C,3
s0079,Level3,A,1
s0079,Level3,B,3
s0079,Level3,C,1
s0079,Level4,A,1
s0079,Level4,B,1
s0079,Level4,C,1
s0080,Level1,A,2
s0080,Level1,B,3
s0080,Level1,C,3
s0080,Level2,A,3
s0080,Level2,B,3
s0080,Level2,C,3
s0080,Level3,A,1
s0080,Level3,B,1
s0080,Level3,C,3
s0080,Level4,A,3
s0080,Level4,B,2
s0080,Level4,C,2
s0081,Level1,A,3
s0081,Level1,B,3
s0081,Level1,C,5
s0081,Level2,A,3
s0081,Level2,B,3
s0081,Level2,C,5
s0081,Level3,A,4
s0081,Level3,B,3
s0081,Level3,C,1
s0081,Level4,A,3
s0081,Level4,B,5
s0081,Level4,C,4
s0082,Level1,A,1
s0082,Level1,B,1
s0082,Level1,C,3
s0082,Level2,A,1
s0082,Level2,B,1
s0082,Level2,C,1
s0082,Level3,A,1
s0082,Level3,B,3
s0082,Level3,C,1
s0082,Level4,A,1
s0082,Level4,B,1
s0082,Level4,C,1
s0083,Level1,A,3
s0083,Level1,B,3
s0083,Level1,C,3
s0083,Level2,A,5
s0083,Level2,B,3
s0083,Level2,C,3
s0083,Level3,A,3
s0083,Level3,B,2
s0083,Level3,C,2
s0083,Level4,A,3
s0083,Level4,B,3
s0083,Level4,C,3
s0084,Level1,A,4
s0084,Level1,B,3
s0084,Level1,C,3
s0084,Level2,A,3
s0084,Level2,B,3
s0084,Level2,C,3
s0084,Level3,A,3
s0084,Level3,B,3
s0084,Level3,C,4
s0084,Level4,A,4
s0084,Level4,B,1
s0084,Level4,C,3
s0085,Level1,A,3
s0085,Level1,B,3
s0085,Level1,C,1
s0085,Level2,A,2
s0085,Level2,B,3
s0085,Level2,C,3
s0085,Level3,A,3
s0085,Level3,B,5
s0085,Level3,C,3
s0085,Level4,A,3
s0085,Level4,B,2
s0085,Level4,C,3
s0086,Level1,A,3
s0086,Level1,B,1
s0086,Level1,C,3
s0086,Level2,A,3
s0086,Level2,B,3
s0086,Level2,C,3
s0086,Level3,A,1
s0086,Level3,B,3
s0086,Level3,C,1
s0086,Level4,A,3
s0086,Level4,B,4
s0086,Level4,C,3
s0087,Level1,A,1
s0087,Level1,B,3
s0087,Level1,C,3
s0087,Level2,A,3
s0087,Level2,B,3
s0087,Level2,C,3
s0087,Level3,A,3
s0087,Level3,B,3
s0087,Level3,C,2
s0087,Level4,A,3
s0087,Level4,B,1
s0087,Level4,C,3
s0088,Level1,A,5
s0088,Level1,B,5
s0088,Level1,C,3
s0088,Level2,A,4
s0088,Level2,B,3
s0088,Level2,C,5
s0088,Level3,A,3
s0088,Level3,B,1
s0088,Level3,C,3
s0088,Level4,A,4
s0088,Level4,B,5
s0088,Level4,C,5
s0089,Level1,A,3
s0089,Level1,B,3
s0089,Level1,C,1
s0089,Level2,A,3
s0089,Level2,B,3
s0089,Level2,C,1
s0089,Level3,A,2
s0089,Level3,B,1
s0089,Level3,C,3
s0089,Level4,A,1
s0089,Level4,B,3
s0089,Level4,C,1
s0090,Level1,A,5
s0090,Level1,B,3
s0090,Level1,C,3
s0090,Level2,A,5
s0090,Level2,B,5
s0090,Level2,C,3
s0090,Level3,A,4
s0090,Level3,B,5
s0090,Level3,C,2
s0090,Level4,A,3
s0090,Level4,B,4
s0090,Level4,C,5
s0091,Level1,A,1
s0091,Level1,B,3
s0091,Level1,C,1
s0091,Level2,A,1
s0091,Level2,B,3
s0091,Level2,C,3
s0091,Level3,A,1
s0091,Level3,B,1
s0091,Level3,C,1
s0091,Level4,A,1
s0091,Level4,B,2
s0091,Level4,C,3
s0092,Level1,A,3
s0092,Level1,B,3
s0092,Level1,C,1
s0092,Level2,A,3
s0092,Level2,B,1
s0092,Level2,C,5
s0092,Level3,A,1
s0092,Level3,B,1
s0092,Level3,C,3
s0092,Level4,A,3
s0092,Level4,B,3
s0092,Level4,C,4
s0093,Level1,A,3
s0093,Level1,B,1
s0093,Level1,C,3
s0093,Level2,A,3
s0093,Level2,B,4
s0093,Level2,C,3
s0093,Level3,A,3
s0093,Level3,B,3
s0093,Level3,C,3
s0093,Level4,A,5
s0093,Level4,B,3
s0093,Level4,C,3
s0094,Level1,A,3
s0094,Level1,B,4
s0094,Level1,C,3
s0094,Level2,A,4
s0094,Level2,B,3
s0094,Level2,C,3
s0094,Level3,A,4
s0094,Level3,B,3
s0094,Level3,C,3
s0094,Level4,A,4
s0094,Level4,B,3
s0094,Level4,C,3
s0095,Level1,A,2
s0095,Level1,B,1
s0095,Level1,C,1
s0095,Level2,A,3
s0095,Level2,B,5
s0095,Level2,C,3
s0095,Level3,A,2
s0095,Level3,B,3
s0095,Level3,C,3
s0095,Level4,A,1
s0095,Level4,B,3
s0095,Level4,C,1
s0096,Level1,A,2
s0096,Level1,B,1
s0096,Level1,C,3
s0096,Level2,A,3
s0096,Level2,B,3
s0096,Level2,C,1
s0096,Level3,A,2
s0096,Level3,B,1
s0096,Level3,C,1
s0096,Level4,A,3
s0096,Level4,B,1
s0096,Level4,C,3
s0097,Level1,A,3
s0097,Level1,B,3
s0097,Level1,C,1
s0097,Level2,A,3
s0097,Level2,B,3
s0097,Level2,C,4
s0097,Level3,A,3
s0097,Level3,B,4
s0097,Level3,C,3
s0097,Level4,A,4
s0097,Level4,B,3
